bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Time_21,376,-,-,-,-,-
Time_21,378,-,-,-,-,-
Time_21,380,5 4,8211 3676,20,32,-
Time_21,382,6 5 5,13907 1039 827,29,47,-
Time_21,384,5 5,8211 3586,27,39,-
Time_21,386,5,2151,52,58,-
Time_21,388,7,1370,25,33,-
Time_21,390,-,-,-,-,-
Time_21,392,7 6,1370 2925,19,33,-
Time_21,394,-,-,-,-,-
Time_21,396,-,-,-,-,-
Time_21,398,8 6,8158 3676,28,44,-
Time_21,400,-,-,-,-,-
