bug_ID,variant_ID,hotswap_time,hotswap_byte_length,execute_time,run_failing_test_case_time,run_regression_test_case_time
Time_2,340,8 8 7 8 9 7 7 6 6 6 6 7 6 6 6,2309 4729 3494 1776 12517 3067 1803 1709 4161 2210 3820 5452 5154 916 1499,17,133,-
Time_2,342,-,-,-,-,-
Time_2,344,8 7 6 6 7 6 6 6 6 6 6 6 6 6 6,2309 4729 3494 1776 12636 2920 1803 1709 4161 2210 3820 5452 5154 916 1499,25,132,-
Time_2,346,8 7 6,13781 1039 891,25,49,-
Time_2,348,8 6 6,13792 1039 891,27,50,-
Time_2,350,-,-,-,-,-
Time_2,352,-,-,-,-,-
Time_2,354,8 7,1151 2667,22,39,-
Time_2,356,9 7 6,13786 1039 891,18,43,-
Time_2,358,-,-,-,-,-
Time_2,360,9 7 6,8279 3676 812,23,48,-
Time_2,362,-,-,-,-,-
Time_2,364,-,-,-,-,-
Time_2,366,8 7 7,8369 3397 812,18,42,-
Time_2,368,8 7 7,8365 3676 812,-,10025,-
Time_2,370,0 13,1203 2667,214,347,-
Time_2,372,3 3 3 3 2 3 3 3,4049 4427 1526 1708 2295 7309 8740 3321,61,89,-
Time_2,374,4 3 3 3 4 3 3 3 3 3 3 3 3 3 3,2309 4729 3494 1776 12636 3054 1803 1709 4161 2210 3820 5452 5154 916 1499,43,98,-
Time_2,376,4 3 3,8369 3645 812,42,55,-
Time_2,378,4,4211,28,34,-
Time_2,380,4 3 3 3 3,537 6880 509 243 566,64,85,-
Time_2,382,5 3 3,8359 3676 812,35,49,-
Time_2,384,4 4 3 3 4 3 3 3 3 3 4 4 4 3 3,2309 4729 3494 1776 12636 3067 1803 1709 4161 2210 3782 5452 5154 916 1499,35,98,-
Time_2,386,-,-,-,-,-
Time_2,388,4 4 3,8072 3676 812,28,42,-
Time_2,390,5 4 3,7857 3548 812,26,40,-
Time_2,392,-,-,-,-,-
Time_2,394,-,-,-,-,-
Time_2,396,5 5,1151 2667,26,37,-
Time_2,398,5 4 4 4 5 4 4 4 4 4 4 4 4 4 4,2309 4729 3494 1776 12636 2951 1803 1709 4161 2210 3820 5452 5154 916 1499,35,109,-
Time_2,400,6,10472,25,33,-
